Report Origin = (0.0, 0.0)
Units used = "mil"
"Name","layer","CenterX","CenterY","Orientation"
"C418", "Top", "1805.004", "3525.000", "90"
"C419", "Top", "1820.000", "2900.000", "180"
"D1", "Top", "1182.703", "3707.639", "90"
"D2", "Top", "3102.160", "3555.770", "90"
"D4", "Top", "3185.327", "3555.769", "90"
"D11", "Top", "1283.256", "3707.468", "90"
"D12", "Top", "1383.256", "3707.468", "90"
"D13", "Top", "1483.256", "3707.468", "90"
"D15", "Top", "5911.516", "2599.287", "0"
"FID1", "Top", "4527.559", "787.402", "0"
"FID2", "Bottom", "295.276", "3346.457", "0"
"FID3", "Top", "295.276", "3346.457", "0"
"FID5", "Top", "295.276", "787.402", "0"
"FID6", "Bottom", "295.276", "787.402", "0"
"FID7", "Bottom", "4527.559", "787.402", "0"
"IC0", "Top", "4527.559", "1771.654", "90"
"J1", "Top", "3497.557", "3609.380", "0"
"J2", "Top", "600.000", "3950.000", "90"
"J3", "Top", "2768.697", "307.084", "0"
"J4", "Top", "63.726", "1850.000", "270"
"J5", "Top", "34.577", "2520.000", "90"
"J6", "Top", "700.000", "3950.000", "90"
"J7", "Top", "2148.695", "3970.194", "0"
"J8", "Top", "5852.894", "3700.000", "90"
"J9", "Top", "800.000", "3950.000", "90"
"J10", "Top", "900.000", "3950.000", "90"
"J11", "Top", "600.000", "3750.000", "90"
"J12", "Top", "700.000", "3750.000", "90"
"J13", "Top", "800.000", "3750.000", "90"
"J14", "Top", "900.000", "3750.000", "90"
"J15", "Top", "600.000", "3550.000", "90"
"J16", "Top", "3469.214", "3900.000", "0"
"J17", "Top", "3869.214", "3900.000", "0"
"J18", "Top", "1848.699", "3820.192", "0"
"J25", "Top", "700.000", "3550.000", "90"
"J26", "Top", "4552.205", "3883.780", "0"
"J27", "Top", "800.000", "3550.000", "90"
"J28", "Top", "1339.537", "3947.492", "0"
"J29", "Top", "5194.882", "3997.047", "0"
"J32", "Top", "1725.000", "1020.000", "90"
"J33", "Top", "900.000", "3550.000", "90"
"J48", "Top", "1825.000", "1020.000", "90"
"J49", "Top", "1925.000", "1020.000", "90"
"J50", "Top", "2025.000", "1020.000", "90"
"L1", "Top", "283.045", "1844.230", "270"
"M1", "Top", "2381.890", "3641.732", "0"
"M2", "Top", "295.280", "3730.315", "0"
"M3", "Top", "2381.890", "826.772", "0"
"M4", "Top", "5196.850", "3641.732", "0"
"M5", "Top", "5196.850", "826.772", "0"
"M6", "Top", "295.280", "368.110", "0"
"R1", "Bottom", "277.910", "2952.520", "0"
"R2", "Bottom", "277.914", "2898.079", "0"
"R3", "Bottom", "329.601", "1959.974", "270"
"R4", "Bottom", "379.856", "1959.974", "270"
"R5", "Bottom", "3277.187", "797.775", "180"
"R6", "Bottom", "3668.532", "762.051", "0"
"R7", "Top", "2020.000", "3070.000", "180"
"R8", "Top", "2136.900", "633.056", "90"
"R9", "Bottom", "3668.532", "815.535", "0"
"R10", "Bottom", "2858.431", "3865.729", "180"
"R11", "Bottom", "3103.023", "3565.501", "270"
"R12", "Bottom", "2136.781", "632.897", "90"
"R13", "Top", "2136.886", "726.656", "90"
"R14", "Bottom", "2758.497", "3865.784", "0"
"R15", "Bottom", "1615.762", "4067.365", "270"
"R16", "Top", "3345.203", "3545.700", "270"
"R17", "Top", "3294.175", "3545.700", "270"
"R18", "Bottom", "3390.964", "2224.409", "90"
"R19", "Bottom", "3390.960", "1870.079", "270"
"R20", "Bottom", "3570.031", "3688.596", "0"
"R21", "Bottom", "3277.053", "720.326", "180"
"R22", "Bottom", "3089.964", "816.286", "0"
"R23", "Bottom", "4966.539", "600.668", "180"
"R24", "Bottom", "4966.615", "656.223", "180"
"R25", "Bottom", "4150.784", "2518.175", "90"
"R26", "Bottom", "4205.902", "2518.175", "90"
"R27", "Bottom", "3572.576", "762.051", "180"
"R28", "Bottom", "2136.957", "726.514", "90"
"R29", "Top", "1796.267", "657.101", "180"
"R30", "Bottom", "2100.000", "1750.000", "0"
"R31", "Bottom", "2100.000", "1800.000", "0"
"R38", "Top", "1796.267", "605.714", "180"
"R39", "Bottom", "1966.237", "2349.112", "270"
"R47", "Bottom", "1437.796", "3225.472", "0"
"R48", "Bottom", "1437.796", "3105.472", "0"
"R64", "Bottom", "3730.000", "2166.000", "180"
"R65", "Bottom", "1437.796", "3045.472", "0"
"R66", "Bottom", "1437.796", "3165.472", "0"
"R69", "Bottom", "1450.425", "2549.769", "0"
"R83", "Bottom", "1450.427", "2429.768", "0"
"R84", "Bottom", "3186.796", "3564.180", "270"
"R87", "Bottom", "1450.427", "2369.768", "0"
"R99", "Bottom", "1913.634", "2349.107", "90"
"R100", "Bottom", "2019.092", "2349.172", "270"
"R101", "Bottom", "2070.415", "2349.107", "90"
"R106", "Bottom", "2874.016", "2409.449", "180"
"R107", "Bottom", "2716.535", "2409.449", "0"
"R108", "Bottom", "3051.181", "2409.449", "0"
"R109", "Bottom", "3390.960", "2086.614", "90"
"R120", "Bottom", "1450.427", "2489.768", "0"
"R121", "Bottom", "1457.155", "964.023", "0"
"R122", "Bottom", "1457.155", "844.020", "0"
"R123", "Bottom", "1457.155", "784.020", "0"
"R124", "Bottom", "1457.155", "904.020", "0"
"R125", "Bottom", "854.291", "961.199", "0"
"R126", "Bottom", "854.291", "841.201", "0"
"R130", "Bottom", "854.291", "781.201", "0"
"R131", "Bottom", "854.291", "901.201", "0"
"R133", "Bottom", "5805.169", "850.556", "0"
"R134", "Bottom", "1182.701", "3709.330", "270"
"R135", "Bottom", "1283.254", "3709.159", "270"
"R136", "Bottom", "1383.254", "3709.159", "270"
"R137", "Bottom", "1483.254", "3709.159", "270"
